,0
1069,1042
1070,1031
1071,986
1072,849
1073,409
1074,852
1075,953
1076,1030
1077,856
1078,1046
1079,499
1080,1124
1081,482
1082,564
1083,1053
1084,844
1085,614
1086,323
1087,1137
1088,963
1089,572
1090,828
1091,1045
1092,1113
1093,1061
1094,1021
1095,1055
1096,447
1097,559
1098,329
1099,1020
1100,1052
1101,826
1102,650
1103,921
1104,1058
1105,222
1106,1126
1107,1076
1108,296
1109,455
1110,577
1111,806
1112,392
1113,1120
1114,245
1115,1138
1116,777
1117,466
1118,802
1119,938
1120,472
1121,429
1122,803
1123,881
1124,807
1125,838
1126,726
1127,490
1128,839
1129,841
1130,842
1131,343
1132,1044
1133,510
1134,1063
1135,845
1136,393
1137,834
1138,525
1139,1035
1140,604
1141,831
1142,486
1143,555
1144,563
1145,961
1146,1048
1147,957
1148,955
1149,954
1150,857
1151,859
1152,791
